max,min,wind,wind_d,rain,humidi,cloud,pressure,date
33,26,9,SE,3.9,65,50,1009,2/27/2009
28,24,5,E,14.6,82,61,1010,2/28/2009
33,23,8,E,3.5,69,30,1009,3/1/2009
35,25,10,E,0,60,17,1009,3/2/2009
33,25,11,E,0,63,31,1009,3/3/2009
35,26,9,ESE,1.2,64,39,1009,3/4/2009
32,26,4,SSE,19.5,78,35,1010,3/5/2009
32,26,6,ESE,17.1,80,26,1010,3/6/2009
31,26,9,SE,18.4,83,56,1011,3/7/2009
32,24,9,ESE,11.6,80,38,1011,3/8/2009
33,25,7,SE,5.6,75,41,1012,3/9/2009
37,26,9,ESE,0.5,62,13,1012,3/10/2009
37,26,8,SE,0.2,59,29,1011,3/11/2009
36,27,8,SSE,0.3,60,31,1011,3/12/2009
35,27,6,SE,0,56,28,1011,3/13/2009
33,27,6,ESE,0.3,60,36,1012,3/14/2009
36,25,5,ESE,0.2,57,34,1011,3/15/2009
34,26,5,SSW,0.2,57,48,1010,3/16/2009
33,27,10,ESE,2.3,61,60,1010,3/17/2009
35,27,10,SE,2.6,64,33,1010,3/18/2009
34,26,9,ESE,0,63,27,1009,3/19/2009
36,26,12,SE,0.1,61,13,1010,3/20/2009
36,25,9,SE,0,61,21,1010,3/21/2009
34,26,7,SE,4.3,65,32,1010,3/22/2009
34,26,7,SSE,0,61,34,1011,3/23/2009
35,27,8,SSE,0.1,59,43,1011,3/24/2009
38,27,6,SSE,1.2,59,40,1011,3/25/2009
35,27,10,SSE,0.1,57,26,1011,3/26/2009
37,27,11,SE,0,58,13,1011,3/27/2009
35,26,6,SE,2.2,63,36,1011,3/28/2009
39,26,6,SE,1.8,56,19,1010,3/29/2009
37,27,8,ESE,0.7,56,30,1009,3/30/2009
37,27,8,E,3.8,62,31,1009,3/31/2009
34,26,7,ENE,5.5,65,40,1009,4/1/2009
34,26,8,E,11.5,67,45,1009,4/2/2009
34,26,8,E,16.5,72,34,1010,4/3/2009
37,26,6,SE,5.1,69,26,1010,4/4/2009
34,27,8,SSE,17.5,75,29,1010,4/5/2009
33,25,6,ENE,35.4,82,64,1009,4/6/2009
32,25,6,ESE,9.3,75,44,1010,4/7/2009
35,25,9,ESE,0.1,65,38,1009,4/8/2009
33,26,9,ESE,4.9,67,33,1009,4/9/2009
35,26,7,ESE,5.3,67,31,1008,4/10/2009
35,27,6,SE,3.8,66,31,1009,4/11/2009
36,27,5,S,21.7,73,38,1009,4/12/2009
31,26,6,SSE,13,83,35,1008,4/13/2009
33,26,5,SSW,15.7,81,30,1008,4/14/2009
33,26,4,W,15.4,82,26,1009,4/15/2009
33,26,7,SW,9.2,80,31,1008,4/16/2009
34,26,7,WSW,3.6,75,19,1007,4/17/2009
35,27,10,WSW,15.4,76,16,1008,4/18/2009
33,26,10,W,24,83,32,1008,4/19/2009
33,26,10,WSW,10.2,79,36,1006,4/20/2009
33,26,7,WSW,15.8,83,33,1006,4/21/2009
33,26,7,WSW,19.8,83,35,1007,4/22/2009
32,26,9,WSW,13.7,83,30,1008,4/23/2009
30,26,8,SW,38.3,88,42,1008,4/24/2009
31,26,7,S,20.2,86,41,1009,4/25/2009
30,25,6,SSW,44.9,90,49,1009,4/26/2009
31,25,5,SSW,22.5,86,42,1010,4/27/2009
32,26,5,S,9.6,81,31,1010,4/28/2009
31,26,6,SSW,14.6,85,48,1010,4/29/2009
30,25,4,SSW,19.4,88,49,1009,4/30/2009
31,26,4,SE,30.8,89,54,1009,5/1/2009
31,25,4,SW,18.8,88,58,1009,5/2/2009
27,25,5,WSW,28.4,93,62,1009,5/3/2009
32,24,7,SSW,4.3,85,35,1009,5/4/2009
30,24,4,W,4.6,83,49,1009,5/5/2009
34,25,5,SW,5.6,78,43,1008,5/6/2009
31,26,5,S,21.4,87,43,1007,5/7/2009
32,25,5,S,11.6,86,40,1007,5/8/2009
30,26,7,S,26.9,89,41,1006,5/9/2009
30,25,7,SSE,12.5,90,56,1007,5/10/2009
30,25,7,SSE,4.9,87,49,1008,5/11/2009
31,25,6,SE,7,85,36,1008,5/12/2009
32,25,8,SE,8,83,41,1007,5/13/2009
32,25,7,SE,2.5,83,29,1007,5/14/2009
33,26,8,ESE,6.4,83,27,1008,5/15/2009
32,25,9,ESE,7,86,42,1009,5/16/2009
32,25,9,ESE,13.2,86,32,1010,5/17/2009
32,25,8,SE,3.8,84,25,1009,5/18/2009
32,26,5,SSE,10.1,86,33,1009,5/19/2009
30,26,6,SW,22,89,46,1008,5/20/2009
32,26,5,SW,15.2,87,46,1008,5/21/2009
31,26,8,WSW,0.2,82,39,1008,5/22/2009
28,24,6,WSW,19.2,91,72,1008,5/23/2009
28,24,4,SW,2.3,92,49,1006,5/24/2009
27,25,6,SW,33,95,68,1007,5/25/2009
30,25,7,SW,22.9,92,48,1007,5/26/2009
30,25,7,SSW,17.1,90,52,1007,5/27/2009
31,25,8,SSW,8.7,88,46,1008,5/28/2009
30,26,4,SW,27.6,90,40,1009,5/29/2009
31,26,6,SW,13.5,89,42,1009,5/30/2009
33,26,5,NW,5.5,85,36,1009,5/31/2009
31,25,6,WSW,13.6,88,52,1008,6/1/2009
29,25,10,SW,19.3,92,59,1008,6/2/2009
28,25,10,SW,24.6,93,63,1008,6/3/2009
29,24,11,SW,6.6,88,48,1008,6/4/2009
31,24,8,SW,10.6,85,26,1008,6/5/2009
31,25,7,WSW,11.2,87,37,1008,6/6/2009
32,24,9,WSW,2.3,80,18,1008,6/7/2009
33,25,10,WSW,0.1,80,14,1008,6/8/2009
30,25,9,SW,13.1,86,40,1009,6/9/2009
30,25,8,SW,22.1,89,61,1009,6/10/2009
30,24,7,WSW,15.1,89,39,1009,6/11/2009
34,25,8,WSW,0.3,79,14,1009,6/12/2009
35,25,9,W,1.8,76,13,1009,6/13/2009
33,26,10,WSW,11,81,30,1008,6/14/2009
30,25,9,SW,19.5,90,43,1006,6/15/2009
29,25,9,SW,19.3,94,65,1007,6/16/2009
29,24,8,SSW,11.9,91,56,1008,6/17/2009
30,24,6,SW,11.8,91,60,1008,6/18/2009
29,25,8,WSW,21.1,91,43,1008,6/19/2009
31,24,8,SW,17.1,90,40,1008,6/20/2009
30,25,9,SW,19.4,90,33,1008,6/21/2009
30,25,7,SW,13.9,90,36,1008,6/22/2009
31,25,6,SW,7.1,88,42,1008,6/23/2009
32,24,6,WSW,5.1,88,45,1007,6/24/2009
32,25,9,SW,13.6,88,27,1007,6/25/2009
31,25,7,SW,15.1,89,31,1008,6/26/2009
31,25,8,SW,16.1,89,35,1008,6/27/2009
30,25,6,SW,18.9,90,31,1009,6/28/2009
31,25,5,WSW,7.3,88,38,1009,6/29/2009
32,25,4,SW,11.1,87,37,1009,6/30/2009
31,25,4,WSW,30.7,90,56,1010,7/1/2009
32,24,5,SSW,9.5,88,53,1009,7/2/2009
30,25,6,SW,27.4,91,37,1008,7/3/2009
30,25,6,SW,14.8,89,34,1009,7/4/2009
30,24,5,S,19.3,90,68,1010,7/5/2009
32,25,4,SW,8.1,86,53,1010,7/6/2009
32,26,8,W,3.8,85,29,1009,7/7/2009
31,25,6,NW,12.8,88,37,1009,7/8/2009
33,25,5,WSW,3.4,84,34,1008,7/9/2009
32,25,8,WSW,5.2,86,22,1006,7/10/2009
31,25,9,WSW,17.9,90,41,1004,7/11/2009
30,24,8,SW,17.2,92,62,1004,7/12/2009
27,24,11,SW,5.7,94,84,1006,7/13/2009
28,24,9,W,1.3,90,60,1007,7/14/2009
25,23,8,WSW,15.4,96,73,1007,7/15/2009
28,24,12,WSW,30.2,95,80,1005,7/16/2009
28,24,11,SW,5.2,93,63,1006,7/17/2009
28,24,10,WSW,10.7,92,63,1007,7/18/2009
31,24,9,WSW,12.8,89,43,1008,7/19/2009
28,24,8,WSW,5.4,94,46,1009,7/20/2009
30,24,7,SW,20.5,92,72,1009,7/21/2009
25,24,8,SSW,37.4,97,78,1008,7/22/2009
29,24,8,SW,27.3,92,58,1008,7/23/2009
29,24,9,WSW,7.3,91,52,1009,7/24/2009
29,24,9,SW,18.5,91,38,1009,7/25/2009
30,24,9,WSW,20.3,90,50,1009,7/26/2009
29,24,9,W,13.2,92,51,1008,7/27/2009
25,24,10,WSW,6.1,94,51,1009,7/28/2009
30,24,12,W,1.4,87,42,1010,7/29/2009
28,24,11,WSW,8.3,90,51,1009,7/30/2009
29,24,11,WSW,3.5,89,66,1007,7/31/2009
28,24,9,W,8.7,91,56,1006,8/1/2009
25,23,9,WSW,48.9,96,77,1006,8/2/2009
26,23,9,WSW,21.3,96,68,1006,8/3/2009
28,24,11,WSW,20,94,77,1006,8/4/2009
31,24,11,WSW,15.5,90,58,1005,8/5/2009
30,24,11,WSW,13.7,90,39,1005,8/6/2009
29,25,11,SW,2.2,91,36,1006,8/7/2009
31,25,12,WSW,3.8,87,33,1005,8/8/2009
31,24,12,WSW,19.4,88,45,1005,8/9/2009
30,24,12,SW,16.9,91,52,1006,8/10/2009
30,24,8,SW,23.6,92,54,1008,8/11/2009
31,24,7,SW,7.9,90,48,1008,8/12/2009
31,25,7,S,16.2,91,38,1008,8/13/2009
33,24,4,S,3.6,85,29,1010,8/14/2009
34,25,4,SSW,7.9,85,24,1011,8/15/2009
33,26,3,SSE,7.6,84,19,1010,8/16/2009
33,25,4,ESE,8.1,83,19,1010,8/17/2009
30,25,4,SE,37.1,91,41,1010,8/18/2009
32,25,4,SE,8.4,88,24,1011,8/19/2009
28,25,4,SW,9.5,94,65,1010,8/20/2009
32,24,5,WSW,9.8,88,31,1008,8/21/2009
32,25,6,SW,11,90,37,1008,8/22/2009
30,25,6,SSW,22.1,92,41,1008,8/23/2009
31,25,4,SW,17.1,90,38,1009,8/24/2009
32,25,3,SSW,21.5,87,37,1008,8/25/2009
32,26,4,SE,17.5,87,37,1007,8/26/2009
30,25,6,SSE,26.5,92,49,1008,8/27/2009
29,25,8,SE,28.2,94,57,1009,8/28/2009
30,24,5,S,20.7,92,62,1009,8/29/2009
30,25,5,SSW,11.5,91,53,1009,8/30/2009
28,25,6,SW,8.4,95,75,1010,8/31/2009
29,24,6,W,25.6,94,71,1008,9/1/2009
29,24,9,W,30.4,93,66,1007,9/2/2009
29,24,11,W,24,93,74,1006,9/3/2009
27,24,11,W,13.2,94,70,1006,9/4/2009
29,23,11,WSW,15.9,94,69,1006,9/5/2009
27,24,13,WSW,19.5,95,86,1006,9/6/2009
26,24,15,WSW,21.6,95,91,1007,9/7/2009
27,23,9,W,15.2,95,62,1009,9/8/2009
28,24,8,W,12.9,94,69,1008,9/9/2009
28,23,6,WSW,11.6,94,71,1007,9/10/2009
29,24,8,SW,18.6,93,68,1008,9/11/2009
29,25,8,SW,12.3,93,74,1009,9/12/2009
30,25,7,SW,18.1,93,53,1010,9/13/2009
29,25,6,WSW,14.2,95,64,1010,9/14/2009
30,25,8,SW,27.2,92,46,1008,9/15/2009
29,25,6,SW,11.2,93,52,1009,9/16/2009
32,25,3,SSW,3.6,87,26,1011,9/17/2009
33,25,4,SW,13.8,87,34,1011,9/18/2009
27,25,5,WNW,34.9,94,60,1011,9/19/2009
31,24,7,W,22.6,92,48,1011,9/20/2009
30,24,7,WSW,7.9,91,36,1010,9/21/2009
30,25,7,W,13.3,90,38,1009,9/22/2009
29,25,7,W,7,92,44,1008,9/23/2009
28,24,8,WSW,23.9,94,68,1008,9/24/2009
28,24,11,SW,10.8,94,66,1007,9/25/2009
27,24,10,WSW,14,94,66,1007,9/26/2009
26,24,9,WSW,7.5,96,63,1006,9/27/2009
27,24,15,W,15.2,92,50,1003,9/28/2009
26,24,13,W,2.4,92,36,1002,9/29/2009
28,25,12,WSW,11.3,91,48,1004,9/30/2009
29,24,7,SSW,4.6,92,68,1006,10/1/2009
30,24,5,WSW,15.2,91,59,1008,10/2/2009
27,25,4,SW,43,96,75,1009,10/3/2009
30,24,5,SE,36.1,93,62,1010,10/4/2009
31,24,6,SE,8.8,89,49,1009,10/5/2009
29,24,5,SE,9.5,92,63,1008,10/6/2009
28,24,5,S,52.1,95,80,1008,10/7/2009
29,24,6,SW,36.8,94,71,1008,10/8/2009
28,24,7,SSW,35.9,95,66,1008,10/9/2009
27,23,8,S,15.8,95,71,1009,10/10/2009
27,23,5,S,13.5,96,66,1011,10/11/2009
30,23,4,S,6.8,89,50,1011,10/12/2009
31,23,5,SW,1.2,86,26,1011,10/13/2009
32,24,3,W,7.3,87,24,1011,10/14/2009
31,26,2,WSW,12.5,89,47,1010,10/15/2009
29,25,4,W,12,93,49,1009,10/16/2009
29,25,4,W,19.9,94,75,1008,10/17/2009
29,24,7,W,25.1,94,56,1008,10/18/2009
28,23,4,WSW,20.5,95,61,1009,10/19/2009
29,24,6,SSW,18.1,93,64,1010,10/20/2009
30,24,6,SSW,15.1,92,50,1010,10/21/2009
30,24,4,SSW,13,91,49,1010,10/22/2009
29,24,6,WSW,28,94,61,1010,10/23/2009
28,24,2,SW,11.9,94,46,1009,10/24/2009
29,24,6,SSE,16.6,94,44,1010,10/25/2009
28,24,8,ESE,4.6,92,35,1011,10/26/2009
32,23,5,SE,3.6,87,31,1011,10/27/2009
32,24,6,ESE,4.9,82,26,1011,10/28/2009
33,24,6,E,1.4,79,26,1011,10/29/2009
33,24,6,SSE,5.8,82,21,1011,10/30/2009
33,23,4,ESE,2,83,15,1010,10/31/2009
32,24,6,SW,2.2,83,29,1009,11/1/2009
31,23,8,NW,18.8,84,46,1009,11/2/2009
29,24,9,ESE,52.9,94,53,1011,11/3/2009
31,23,7,ENE,4.3,86,34,1011,11/4/2009
30,23,6,NE,10.1,87,27,1010,11/5/2009
30,24,6,NE,15.6,91,41,1009,11/6/2009
29,24,6,ESE,23.8,92,47,1009,11/7/2009
32,24,5,E,7.7,87,33,1009,11/8/2009
34,24,5,ESE,4.7,84,14,1007,11/9/2009
31,24,7,ESE,9,89,43,1006,11/10/2009
31,24,7,ESE,9.2,89,26,1007,11/11/2009
31,24,6,ESE,7.1,88,28,1010,11/12/2009
33,25,6,SE,4.1,85,27,1010,11/13/2009
36,25,5,SSE,1.3,81,11,1009,11/14/2009
33,23,4,SSE,1,83,39,1009,11/15/2009
33,24,5,SSW,1.1,84,21,1010,11/16/2009
32,23,4,E,4.2,83,25,1011,11/17/2009
32,23,9,ENE,3.6,79,21,1012,11/18/2009
32,23,8,ENE,8.6,79,30,1012,11/19/2009
30,22,11,NNE,6.8,82,30,1012,11/20/2009
30,23,14,ENE,0,74,36,1012,11/21/2009
28,22,11,E,0,74,50,1012,11/22/2009
29,22,9,SE,0.3,76,44,1012,11/23/2009
28,22,6,WSW,0.2,80,41,1011,11/24/2009
30,23,5,SW,0.5,82,40,1010,11/25/2009
25,23,4,WNW,18.6,94,50,1010,11/26/2009
30,22,3,WSW,4.2,89,35,1011,11/27/2009
33,23,4,ESE,4.1,83,18,1012,11/28/2009
30,23,6,ESE,0.5,82,29,1012,11/29/2009
27,23,5,SE,0.1,86,44,1013,11/30/2009
31,22,5,SE,0.8,79,30,1013,12/1/2009
32,24,5,E,3.7,80,41,1012,12/2/2009
32,24,6,E,2.6,77,36,1013,12/3/2009
32,22,4,SE,0.3,75,9,1012,12/4/2009
35,23,3,SE,0,75,8,1012,12/5/2009
33,22,5,E,0,77,5,1012,12/6/2009
33,22,6,SE,0,75,10,1012,12/7/2009
33,22,7,ESE,0,72,12,1012,12/8/2009
34,23,7,ESE,0,70,9,1012,12/9/2009
35,23,6,ESE,0,70,5,1011,12/10/2009
32,22,5,SE,0,71,16,1011,12/11/2009
32,23,5,E,0,71,37,1011,12/12/2009
33,23,6,ESE,0,71,32,1011,12/13/2009
33,25,6,SSW,0.5,66,34,1012,12/14/2009
30,24,6,ESE,9.2,81,50,1012,12/15/2009
30,24,7,E,2.4,83,63,1013,12/16/2009
31,24,7,E,1.9,79,45,1013,12/17/2009
33,22,6,ENE,0.1,74,26,1014,12/18/2009
32,23,6,E,1,73,44,1015,12/19/2009
32,23,6,ENE,0.3,69,37,1015,12/20/2009
32,22,5,ESE,0,67,26,1014,12/21/2009
32,22,5,SE,0,66,26,1013,12/22/2009
33,22,4,SSW,0,70,24,1012,12/23/2009
34,23,5,E,0.3,71,31,1011,12/24/2009
32,25,6,E,2,73,48,1010,12/25/2009
33,24,7,E,3.2,74,50,1010,12/26/2009
34,24,8,ESE,0.4,72,43,1010,12/27/2009
34,24,7,ESE,0.9,67,25,1010,12/28/2009
34,24,7,ESE,0,63,10,1010,12/29/2009
35,23,7,ESE,0,64,9,1010,12/30/2009
34,23,7,E,0,63,13,1010,12/31/2009
34,24,5,E,0,59,20,1010,1/1/2010
32,24,7,ESE,0,61,48,1010,1/2/2010
33,26,7,ESE,0,65,37,1010,1/3/2010
35,25,9,ESE,0.1,61,42,1009,1/4/2010
35,26,10,ESE,0,57,35,1009,1/5/2010
34,25,12,ESE,0,56,13,1010,1/6/2010
35,25,10,ESE,0,55,12,1012,1/7/2010
35,24,6,SE,0,57,14,1012,1/8/2010
33,24,5,ESE,0,64,35,1011,1/9/2010
33,25,6,ESE,1.3,62,54,1011,1/10/2010
35,25,6,SE,0.1,61,30,1012,1/11/2010
34,25,7,ESE,0,61,10,1013,1/12/2010
33,23,7,ENE,0,62,28,1015,1/13/2010
32,22,9,ENE,0,58,28,1016,1/14/2010
33,22,7,SSE,0,60,21,1015,1/15/2010
33,22,7,ESE,0,55,24,1015,1/16/2010
33,23,7,SE,0,56,43,1015,1/17/2010
33,23,8,SE,0.7,62,22,1013,1/18/2010
24,22,12,SW,23.2,84,75,1011,1/19/2010
25,22,12,SSE,8.1,93,88,1011,1/20/2010
31,22,11,SE,0,79,31,1013,1/21/2010
32,24,9,ESE,1.3,77,18,1013,1/22/2010
33,23,7,ESE,0.2,71,23,1013,1/23/2010
34,23,9,ESE,0,64,17,1013,1/24/2010
34,23,7,E,0.1,65,40,1013,1/25/2010
34,25,6,E,0.2,65,57,1013,1/26/2010
35,24,7,E,0.2,58,30,1013,1/27/2010
33,24,8,ESE,0,60,33,1013,1/28/2010
33,26,8,E,0,57,35,1013,1/29/2010
34,25,9,ESE,0,57,32,1012,1/30/2010
36,25,9,SE,1,57,25,1013,1/31/2010
36,24,8,ESE,0,63,14,1012,2/1/2010
34,24,12,SE,0,65,29,1011,2/2/2010
33,26,9,SE,0,62,40,1012,2/3/2010
36,24,10,ESE,0,57,21,1012,2/4/2010
37,25,10,ESE,0,57,13,1012,2/5/2010
36,25,12,SE,0,60,16,1013,2/6/2010
36,25,12,ESE,0,60,12,1013,2/7/2010
36,25,13,ESE,0,56,11,1012,2/8/2010
36,24,12,ESE,0,55,8,1012,2/9/2010
36,25,13,ESE,0,59,6,1012,2/10/2010
37,24,11,ESE,0,59,5,1013,2/11/2010
38,26,10,SE,0,56,8,1013,2/12/2010
38,26,11,ESE,0,54,13,1012,2/13/2010
37,25,12,ESE,0,53,14,1011,2/14/2010
37,25,11,ESE,0,55,8,1012,2/15/2010
38,25,13,ESE,0,52,7,1012,2/16/2010
37,25,9,SE,0,54,9,1012,2/17/2010
37,25,9,E,0,55,18,1012,2/18/2010
34,26,11,E,0,58,26,1013,2/19/2010
38,25,10,ESE,0,58,20,1012,2/20/2010
34,25,9,SE,7.9,65,47,1013,2/21/2010
33,24,7,SE,1.5,67,49,1013,2/22/2010
36,27,11,SE,0,58,21,1011,2/23/2010
36,24,9,SSE,0,60,9,1010,2/24/2010
38,24,7,SSE,0,60,6,1011,2/25/2010
37,25,8,SSE,0,59,7,1010,2/26/2010
37,25,8,SE,0,61,9,1010,2/27/2010
37,25,12,SE,0,60,5,1011,2/28/2010
37,25,10,SE,0,57,5,1012,3/1/2010
35,25,6,SSE,0,59,16,1011,3/2/2010
35,26,9,SSE,0,61,46,1010,3/3/2010
34,26,10,SSE,0.1,63,51,1011,3/4/2010
34,26,9,SSE,0.2,60,55,1011,3/5/2010
39,27,8,SSE,0,54,12,1011,3/6/2010
34,26,9,SSE,0.1,60,28,1012,3/7/2010
36,27,10,SE,0,60,16,1012,3/8/2010
35,27,8,ESE,4.3,68,44,1014,3/9/2010
38,26,10,ENE,0.5,55,26,1014,3/10/2010
38,26,8,E,0.1,48,18,1015,3/11/2010
39,26,8,ESE,0,51,11,1014,3/12/2010
36,26,10,SE,0,54,24,1013,3/13/2010
37,27,11,SE,0,53,11,1011,3/14/2010
40,25,9,SE,0,54,13,1011,3/15/2010
38,27,15,ESE,0,45,7,1011,3/16/2010
37,26,10,E,0,51,24,1013,3/17/2010
39,27,11,E,0,46,24,1013,3/18/2010
37,25,9,ESE,0,47,12,1011,3/19/2010
35,26,9,SE,0,56,21,1010,3/20/2010
34,28,12,SE,0,56,20,1010,3/21/2010
36,26,11,SE,0,59,20,1009,3/22/2010
36,26,10,SE,0,63,31,1008,3/23/2010
36,27,7,SE,2.1,63,59,1008,3/24/2010
38,27,7,SE,6.5,66,42,1009,3/25/2010
35,26,9,E,6.3,64,31,1011,3/26/2010
37,26,5,E,2.5,61,36,1011,3/27/2010
34,26,6,ENE,2.3,64,33,1011,3/28/2010
37,26,9,E,2.7,60,50,1011,3/29/2010
35,27,10,ESE,1.3,60,39,1011,3/30/2010
36,27,7,SE,0.1,60,43,1011,3/31/2010
34,26,9,SE,2.2,65,34,1011,4/1/2010
37,26,8,SE,0.6,65,34,1011,4/2/2010
36,27,12,SE,0,59,16,1011,4/3/2010
36,27,10,SE,0,59,28,1011,4/4/2010
37,27,9,SE,0,59,37,1010,4/5/2010
35,28,9,SE,0,60,38,1010,4/6/2010
36,27,8,SE,0,57,18,1012,4/7/2010
39,28,11,SE,0,54,14,1012,4/8/2010
36,27,9,SE,0.2,61,43,1010,4/9/2010
38,27,8,SE,0.7,55,30,1009,4/10/2010
38,27,10,SSE,0,55,20,1008,4/11/2010
33,28,9,S,1.4,67,39,1009,4/12/2010
39,27,8,SSE,1.1,55,26,1009,4/13/2010
38,27,12,SE,0.1,56,22,1010,4/14/2010
41,28,11,ESE,0,53,17,1010,4/15/2010
35,28,11,ESE,16.8,69,33,1011,4/16/2010
35,26,10,ESE,1.1,66,27,1012,4/17/2010
36,27,7,SE,3.3,66,29,1011,4/18/2010
34,27,6,SE,22.7,74,41,1010,4/19/2010
34,27,3,SSE,30.5,81,38,1009,4/20/2010
34,26,4,SE,14.4,77,45,1010,4/21/2010
33,27,7,SSE,13.7,78,23,1010,4/22/2010
35,27,8,SE,2.7,71,33,1011,4/23/2010
37,27,10,ESE,0,61,11,1011,4/24/2010
35,28,9,ESE,0,57,19,1011,4/25/2010
38,27,10,SE,0,56,14,1012,4/26/2010
36,28,8,SE,0.4,61,48,1012,4/27/2010
34,28,6,SSE,4.2,68,48,1012,4/28/2010
32,27,6,SE,15.7,82,48,1011,4/29/2010
31,26,6,ESE,5.7,84,48,1011,4/30/2010
35,26,8,ESE,9.2,78,53,1011,5/1/2010
33,26,7,ESE,23.8,80,50,1009,5/2/2010
32,26,6,SE,45.1,84,58,1008,5/3/2010
30,27,4,SE,24.9,88,39,1007,5/4/2010
34,26,6,S,5.7,79,21,1007,5/5/2010
37,26,6,SSE,1.6,69,17,1007,5/6/2010
37,27,6,SSE,0,66,38,1007,5/7/2010
40,28,6,SSE,0.7,60,32,1006,5/8/2010
37,28,5,S,7.4,71,55,1006,5/9/2010
39,27,6,SSE,8.4,71,33,1006,5/10/2010
37,27,8,SE,2.9,71,42,1007,5/11/2010
35,28,9,ESE,1.3,67,19,1007,5/12/2010
36,27,8,ESE,2.7,67,31,1007,5/13/2010
37,27,8,SE,5.9,68,34,1007,5/14/2010
35,28,8,SE,13.2,74,26,1007,5/15/2010
34,27,8,SE,19.6,79,25,1008,5/16/2010
37,27,8,ESE,0.1,71,18,1008,5/17/2010
35,27,8,SE,7.3,73,21,1009,5/18/2010
33,27,4,ESE,20,82,24,1009,5/19/2010
33,27,5,ESE,17.8,81,24,1009,5/20/2010
33,27,7,S,27.1,85,33,1009,5/21/2010
32,27,6,SW,33.8,87,37,1009,5/22/2010
32,26,8,SW,16.9,85,48,1008,5/23/2010
33,26,8,SW,19.8,85,24,1007,5/24/2010
31,26,8,SSW,34.3,89,29,1008,5/25/2010
30,26,7,SW,7.4,89,42,1008,5/26/2010
29,26,4,SSW,2.4,91,33,1009,5/27/2010
30,26,5,SSW,2,87,55,1010,5/28/2010
33,26,5,SSW,7.3,83,42,1010,5/29/2010
32,26,6,SSW,5.4,82,30,1009,5/30/2010
34,26,6,SW,8.5,83,25,1009,5/31/2010
33,26,7,SW,9,84,20,1009,6/1/2010
32,26,7,SW,17.1,88,28,1009,6/2/2010
32,26,5,SW,17.1,88,36,1010,6/3/2010
32,26,6,SW,16.9,88,26,1009,6/4/2010
31,26,5,SSW,36.1,92,51,1008,6/5/2010
31,26,5,S,28,91,52,1008,6/6/2010
